OrderDate,DailyRevenue
01-12-2010,46376.49
02-12-2010,47316.53
03-12-2010,23921.71
05-12-2010,31771.6
06-12-2010,31215.64
07-12-2010,53795.31
08-12-2010,39248.82
09-12-2010,38231.9
10-12-2010,33650.28
12-12-2010,17305.77
13-12-2010,27642.68
14-12-2010,29322.3
15-12-2010,30311.72
16-12-2010,49030.08
17-12-2010,20046.56
19-12-2010,7417.39
20-12-2010,19621.96
21-12-2010,15951.66
22-12-2010,4886.52
23-12-2010,5648.97
04-01-2011,12125.46
05-01-2011,28803.63
06-01-2011,34360.19
07-01-2011,23797.79
09-01-2011,15778.2
10-01-2011,15346.83
11-01-2011,60268.78
12-01-2011,17153.94
13-01-2011,15171.31
14-01-2011,39532.02
16-01-2011,7242.06
17-01-2011,16597.35
18-01-2011,87589.11
19-01-2011,21646.78
20-01-2011,15244.73
21-01-2011,24279.76
23-01-2011,10400.25
24-01-2011,17632.37
25-01-2011,24119.3
26-01-2011,17490.82
27-01-2011,22157.03
28-01-2011,17273.5
30-01-2011,6615.75
31-01-2011,18818.08
01-02-2011,26376.5
02-02-2011,17145.23
03-02-2011,22184
04-02-2011,18114.31
06-02-2011,3457.11
07-02-2011,23415.01
08-02-2011,14168.03
09-02-2011,11920.78
10-02-2011,14198.51
11-02-2011,18599.46
13-02-2011,5713.63
14-02-2011,23003.99
15-02-2011,37784.65
16-02-2011,23499.22
17-02-2011,17674.79
18-02-2011,14463.06
20-02-2011,9624.69
21-02-2011,32801.73
22-02-2011,29160.48
23-02-2011,19348.07
24-02-2011,21472.89
25-02-2011,18377.69
27-02-2011,9526.5
28-02-2011,15107.02
01-03-2011,23631.87
02-03-2011,18686.99
03-03-2011,32855.05
04-03-2011,17322.47
06-03-2011,9997.42
07-03-2011,20285.68
08-03-2011,22230.61
09-03-2011,20345.87
10-03-2011,24431.72
11-03-2011,20896
13-03-2011,4148.12
14-03-2011,26009.25
15-03-2011,14936.43
16-03-2011,21820.66
17-03-2011,32028.94
18-03-2011,23398.74
20-03-2011,20084.8
21-03-2011,16051.05
22-03-2011,19064.29
23-03-2011,21578.8
24-03-2011,36697.14
25-03-2011,27302.75
27-03-2011,9224.4
28-03-2011,20005.16
29-03-2011,37190.52
30-03-2011,29587.42
31-03-2011,25688.61
01-04-2011,24586.82
03-04-2011,6918.5
04-04-2011,29017.77
05-04-2011,28759.37
06-04-2011,12722.32
07-04-2011,16827.77
08-04-2011,22720.71
10-04-2011,9913.98
11-04-2011,20184.14
12-04-2011,24023.96
13-04-2011,24484.42
14-04-2011,35702.7
15-04-2011,18021.48
17-04-2011,12725.5
18-04-2011,43713.56
19-04-2011,18853.04
20-04-2011,25718.95
21-04-2011,27804.47
26-04-2011,21584.41
27-04-2011,23593.2
28-04-2011,21323.29
01-05-2011,6973.66
03-05-2011,28910.41
04-05-2011,27532
05-05-2011,25232.67
06-05-2011,30786.7
08-05-2011,18867.4
09-05-2011,21624.41
10-05-2011,29870.7
11-05-2011,31887.7
12-05-2011,59901.56
13-05-2011,25885.83
15-05-2011,9680.05
16-05-2011,35706.7
17-05-2011,46406.09
18-05-2011,32882.87
19-05-2011,31553.51
20-05-2011,25489.66
22-05-2011,24231.09
23-05-2011,31307.49
24-05-2011,32462.48
25-05-2011,21884.93
26-05-2011,32764.38
27-05-2011,21163.32
29-05-2011,7394.3
31-05-2011,18194.65
01-06-2011,15390.89
02-06-2011,28104.56
03-06-2011,15042.26
05-06-2011,25639.54
06-06-2011,16290.98
07-06-2011,33908.26
08-06-2011,30192.13
09-06-2011,42910.38
10-06-2011,58245.12
12-06-2011,12472.21
13-06-2011,19719.11
14-06-2011,33334.47
15-06-2011,45077.54
16-06-2011,32307.77
17-06-2011,19059.23
19-06-2011,22442.18
20-06-2011,26136.73
21-06-2011,19850.66
22-06-2011,21170.42
23-06-2011,22556.81
24-06-2011,16021.71
26-06-2011,7082.49
27-06-2011,13412.2
28-06-2011,30532.37
29-06-2011,12570.63
30-06-2011,41743.04
01-07-2011,12189.29
03-07-2011,6032.39
04-07-2011,30985.17
05-07-2011,25992.26
06-07-2011,22960.48
07-07-2011,27893.66
08-07-2011,17558.3
10-07-2011,5993.87
11-07-2011,20080.03
12-07-2011,17948.19
13-07-2011,19432.85
14-07-2011,32020.91
15-07-2011,11857.3
17-07-2011,16958.6
18-07-2011,22018.36
19-07-2011,46599.08
20-07-2011,27076.97
21-07-2011,30394.71
22-07-2011,14633.77
24-07-2011,26796.92
25-07-2011,19687.31
26-07-2011,17293
27-07-2011,22855.32
28-07-2011,54198.37
29-07-2011,17240.61
31-07-2011,33393.29
01-08-2011,19808.4
02-08-2011,20277.05
03-08-2011,26617.77
04-08-2011,62079.61
05-08-2011,19825.4
07-08-2011,7576.96
08-08-2011,19758.62
09-08-2011,25957.12
10-08-2011,19861.56
11-08-2011,54386.17
12-08-2011,17970.17
14-08-2011,5718.57
15-08-2011,17243.97
16-08-2011,16077.84
17-08-2011,48769.64
18-08-2011,54082.81
19-08-2011,17339.59
21-08-2011,14566.84
22-08-2011,29623.18
23-08-2011,22399.11
24-08-2011,38617.01
25-08-2011,22495.29
26-08-2011,24111.64
28-08-2011,10805.03
30-08-2011,8833.71
31-08-2011,20540.84
01-09-2011,37370.15
02-09-2011,30297.05
04-09-2011,17005.03
05-09-2011,35698.7
06-09-2011,25495.82
07-09-2011,21967.42
08-09-2011,23188.3
09-09-2011,25142.15
11-09-2011,35511.67
12-09-2011,27989.4
13-09-2011,48162.25
14-09-2011,22027.95
15-09-2011,71993.67
16-09-2011,23248.98
18-09-2011,15745.73
19-09-2011,46607.22
20-09-2011,103435.81
21-09-2011,38503.06
22-09-2011,57869.36
23-09-2011,31781.1
25-09-2011,31372.66
26-09-2011,29329.84
27-09-2011,29274.36
28-09-2011,39057.89
29-09-2011,44729.37
30-09-2011,40033.44
02-10-2011,11582.95
03-10-2011,62275.95
04-10-2011,38690.2
05-10-2011,74108.43
06-10-2011,60387.8
07-10-2011,49187.67
09-10-2011,12466.81
10-10-2011,43080.32
11-10-2011,46436.77
12-10-2011,27731.37
13-10-2011,33039.18
14-10-2011,32124.68
16-10-2011,22010.96
17-10-2011,47005.24
18-10-2011,37302.4
19-10-2011,37333.52
20-10-2011,61064.06
21-10-2011,60417.26
23-10-2011,12339.16
24-10-2011,39315.28
25-10-2011,36235.95
26-10-2011,34435.32
27-10-2011,55837.14
28-10-2011,37290.57
30-10-2011,34571.23
31-10-2011,33048.57
01-11-2011,29132.81
02-11-2011,38734.7
03-11-2011,60672.11
04-11-2011,56099.24
06-11-2011,42941.34
07-11-2011,28779.24
08-11-2011,38295.12
09-11-2011,61489.18
10-11-2011,70513.29
11-11-2011,37081.37
13-11-2011,28607.78
14-11-2011,58777.71
15-11-2011,47729
16-11-2011,48439.76
17-11-2011,55885.3
18-11-2011,36751.25
20-11-2011,30190.92
21-11-2011,45333.13
22-11-2011,49664.89
23-11-2011,71979.93
24-11-2011,38579.11
25-11-2011,26674.66
27-11-2011,17300.96
28-11-2011,51831.67
29-11-2011,48851.68
30-11-2011,41481.23
01-12-2011,44533.99
02-12-2011,44713.69
04-12-2011,20375.96
05-12-2011,58202.21
06-12-2011,46144.04
07-12-2011,69354.21
08-12-2011,50519.41
09-12-2011,184349.28
